"","id","Value"
"302","dumb",176.4
"303","dumb",176.4
"304","dumb",176.4
"305","dumb",177.8
"306","dumb",177.8
"307","dumb",177.8
"308","dumb",179.2
"309","dumb",179.2
"310","dumb",179.2
"311","dumb",180.6
"312","dumb",180.6
"313","dumb",180.6
"314","dumb",182
"315","dumb",182
"316","dumb",183.4
"317","dumb",183.4
"318","dumb",183.4
"319","dumb",183.4
"320","dumb",184.8
"321","dumb",184.8
"322","dumb",184.8
"323","dumb",184.8
"324","dumb",186.2
"325","dumb",186.2
"326","dumb",186.2
"327","dumb",186.2
"328","dumb",186.2
"329","dumb",186.2
"330","dumb",187.6
"331","dumb",187.6
"332","dumb",187.6
"333","dumb",187.6
"334","dumb",189
"335","dumb",189
"336","dumb",189
"337","dumb",190.4
"338","dumb",190.4
"339","dumb",190.4
"340","dumb",190.4
"341","dumb",191.8
"342","dumb",191.8
"343","dumb",191.8
"344","dumb",191.8
"345","dumb",193.2
"346","dumb",193.2
"347","dumb",193.2
"348","dumb",193.2
"349","dumb",193.2
"350","dumb",194.6
"351","dumb",194.6
"352","dumb",194.6
"353","dumb",194.6
"354","dumb",196
"355","dumb",196
"356","dumb",196
"357","dumb",197.4
"358","dumb",197.4
"359","dumb",198.8
"360","dumb",198.8
"361","dumb",198.8
"362","dumb",198.8
"363","dumb",200.2
"364","dumb",200.2
"365","dumb",200.2
"366","dumb",200.2
"367","dumb",201.6
"368","dumb",201.6
"369","dumb",201.6
"370","dumb",203
"371","dumb",203
"372","dumb",203
"373","dumb",204.4
"374","dumb",204.4
"375","dumb",204.4
"376","dumb",205.8
"377","dumb",205.8
"378","dumb",205.8
"379","dumb",205.8
"380","dumb",207.2
"381","dumb",207.2
"382","dumb",207.2
"383","dumb",207.2
"384","dumb",208.6
"385","dumb",208.6
"386","dumb",210
"387","dumb",210
"388","dumb",210
"389","dumb",211.4
"390","dumb",211.4
"391","dumb",212.8
"392","dumb",214.2
"393","dumb",214.2
"394","dumb",215.6
"395","dumb",215.6
"396","dumb",215.6
"397","dumb",217
"398","dumb",217
"399","dumb",217
"400","dumb",218.4
"401","dumb",218.4
"402","dumb",218.4
"403","dumb",218.4
"404","dumb",218.4
"405","dumb",219.8
"406","dumb",219.8
"407","dumb",219.8
"408","dumb",219.8
"409","dumb",219.8
"410","dumb",221.2
"411","dumb",221.2
"412","dumb",221.2
"413","dumb",222.6
"414","dumb",222.6
"415","dumb",222.6
"416","dumb",224
"417","dumb",224
"418","dumb",225.4
"419","dumb",225.4
"420","dumb",225.4
"421","dumb",226.8
"422","dumb",226.8
"423","dumb",226.8
"424","dumb",228.2
"425","dumb",228.2
"426","dumb",228.2
"427","dumb",228.2
"428","dumb",229.6
"429","dumb",229.6
"430","dumb",229.6
"431","dumb",231
"432","dumb",231
"433","dumb",231
"434","dumb",231
"435","dumb",231
"436","dumb",232.4
"437","dumb",232.4
"438","dumb",232.4
"439","dumb",232.4
"440","dumb",233.8
"441","dumb",233.8
"442","dumb",233.8
"443","dumb",233.8
"444","dumb",233.8
"445","dumb",235.2
"446","dumb",235.2
"447","dumb",235.2
"448","dumb",235.2
"449","dumb",236.6
"450","dumb",236.6
"451","dumb",236.6
"452","dumb",236.6
"453","dumb",236.6
"454","dumb",236.6
"455","dumb",236.6
"456","dumb",238
"457","dumb",238
"458","dumb",238
"459","dumb",238
"460","dumb",238
"461","dumb",238
"462","dumb",238
"463","dumb",238
"464","dumb",239.4
"465","dumb",239.4
"466","dumb",239.4
"467","dumb",239.4
"468","dumb",239.4
"469","dumb",239.4
"470","dumb",239.4
